App,ID,Author,Date,Rating,Helpful Count,Review,,,,
,47,Karim Soufi,13-Sep-20,5,0," Brilliant platform, saves me hundreds of hours of work to build a blog and evolve it. I'M sure that the five stars will not get into your way to bring us more and more. Go ahead, go for it guys. Thank you very much Your work is greatly appreciated",,,,
,48,Solomon Everta,20-Sep-20,4,0," Wordpress adjusts to the changing world of blogs, keeping the experience in the industry. Great for getting your free blog going and good support. Limited in the free templates, but, hey, they are free.",,,,
,49,Farah Jama,21-Sep-20,5,0," Happy with the application. Easy to use, blogging and updating on this app is similar to computer using. All the time convenience.",,,,
,50,Michael Kevin Galang,30-Sep-20,3,0," pls update the preview button, if u want to preview while ur yet to save ur draft / post", after u press the preview button it saves the draft / post first then u have to press it again to really preview it," what u should do rather is after u press the preview button while ur yet to save ur draft / p...Full Reviewpls update the preview button, if u want to preview while ur yet to save ur draft / post", after u press the preview button it saves the draft / post first then u have to press it again to really preview it," what u should do rather is after u press the preview button while ur yet to save ur draft / post, show still the process that its being save (or better not), then proceed the with preview already ok"
,51,Xichtu Hi,17-Sep-20,3,0," its hard to find post, there is no longer visit owner page button. very time I tap on, the page opens in browser and I have to log in again. its really un convenient.",,,,
,52,Tasha Drummond-Aye,14-Sep-20,5,0," Love it! Great way to manage most of my WordPress needs. It's simple, convenient, and worth having.",,,,
,53,Rifa Fauziyah Maghfirah Maulani,29-Sep-20,1,0," Its really hard to post a blog post in this app no matter how good my internet connection is. It always fail and ask me to retry. I've retried 1000 times but still fail each time. The loading time is very long too, I can eat my whole cereal while waiting and after I finished eating the app still hav...Full ReviewIts really hard to post a blog post in this app no matter how good my internet connection is. It always fail and ask me to retry. I've retried 1000 times but still fail each time. The loading time is very long too, I can eat my whole cereal while waiting and after I finished eating the app still havent done yet. If those problems are solved, this app would be quite helpful, I guess.",,,,
,54,Prince Raj,3-Oct-20,1,0," Everything is good but some issues should be fixed like featured images never set once, i have to do it 10 times then it set and there is no option for putting focus keyword",,,,
,55,Víctor Simbol,19-Sep-20,5,0," For me, it's a way to create, to free my mind, to earn extra money, to work without working... and so on. I always say thanks for apps like this because life couldn't be the same without WordPress. Thanks guys 🤘🏻",,,,
,56,Randy Onyango,21-Sep-20,3,0," Sometimes it glitches and mixes my work when I attach images and videos. Sometimes the app doesn't even respond, do something about it.",,,,
,57,Martin Nicholas,21-Sep-20,1,1," DO NOT DOWNLOAD!! The app is hanging, I've been trying to edit the same post for 2 hours now and the app keeps glitching. I've restarted my device twice and cleared my ram, but it keeps hanging!!",,,,
,58,J Lewis,9-Sep-20,5,1, Great team behind a rather good product highly recomend both product and the help section... very good on line tutorials.. only complaint is.. to a person not used to building web sites the information comes thick and fast other then that..A1,,,,
,59,Olaide S.,23-Sep-20,1,0, I have deleted and reinstalled it a couple of time. The problem persists. The app is not even opening so I can't make a report on the help and support page.,,,,
,60,Abani Das,13-Sep-20,5,0," The best Website making Application, I love it so much, The only App which have Unbeatable, Unbelievable and Fantastic Features. Well done... Creative work by The Devloper",,,,
,61,Tom Williams,1-Oct-20,3,0," I, at first, loved how easy it was to use. However, the block editor is unnecessarily complicated.",,,,
,62,Bro. Tamilmani,14-Sep-20,5,0, Wonderful Blog. I need blog posts search facility. Thank you all for fulfill my request. Thanks for search provision. God bless you all.,,,,
,63,Seema More,26-Sep-20,3,0," App is good for checking the stats, replying to comments and save drafts butI prefer the web version because it is much easier to add images and make edits there than the app",,,,
,64,Nick Keighley,26-Sep-20,3,0, UI can be a bit clunky at times. But WordPress is a nice way to run a basic Web Site.,,,,
,65,amrutvarsha shower of blessings,28-Sep-20,5,0, Great experience.easily understand how to handle site and blogs. When I started blog after within 3 days I get my first like and follower I m so happy with that. It boost my energy to writ more blogs. With full dedication. just have to learn more about site development. So I still not know all the f...Full ReviewGreat experience.easily understand how to handle site and blogs. When I started blog after within 3 days I get my first like and follower I m so happy with that. It boost my energy to writ more blogs. With full dedication. just have to learn more about site development. So I still not know all the features but over all great.,,,,
,66,Ayanti Reddy,6-Sep-20,3,28," Ever since the block editor was introduced, editing images and aligning it the way I want it to be is tough on my phone and I have to rely on my laptop for it. There's a particular layout I prefer and despite whatever tweaking I do, when the post is published, things aren't aesthetically how I want ...Full ReviewEver since the block editor was introduced, editing images and aligning it the way I want it to be is tough on my phone and I have to rely on my laptop for it. There's a particular layout I prefer and despite whatever tweaking I do, when the post is published, things aren't aesthetically how I want them to be. Earlier I had the freedom to just type stuff out and add images and publish it. Of course less options existed for formatting&alignment. The app is still quite user-friendly though.",,,,
,67,Emmanuel Cosmos,13-Sep-20,5,2, Very good app. Equipped with classic editing tools and features that you can use to edit your posts. Nice one there,,,,
,68,Raymond Christensen,20-Sep-20,5,0," Word Press has been fun and an inviting experience for me. Straight, forward and inclusive. Raymond",,,,
,69,A B,30-Sep-20,2,0," Does not have much functionality in the free version, cannot load a preview of the page's content.",,,,
,70,Noela Ja,2-Oct-20,5,0, I love it. It would be great if it included the content lists so that i can keep track the posts i have read.,,,,
,71,Emasterji Man,21-Sep-20,3,0," good, but I can't login more than one wordpress site in v15.6. Old version do that. I want old version.",,,,
,72,Sohail Keegan Pinto,21-Jul-20,4,136," I don't recall when I started using the app - maybe 5, 6 years ago? - but ever since I started, I haven't used the web browser editor. I very much like this app, and find it easy to use to to make posts. Formatting is a bit finicky, even after all these years. I also enjoy the features that allow fo...Full ReviewI don't recall when I started using the app - maybe 5, 6 years ago? - but ever since I started, I haven't used the web browser editor. I very much like this app, and find it easy to use to to make posts. Formatting is a bit finicky, even after all these years. I also enjoy the features that allow for reading posts by blogs I follow and finding new posts. The one issue I have here is that earchibg for and following blogs is not easy to do.",,,,
