App,ID,Author,Date,Rating,Helpful Count,Review,,,,,,
Youtube,40,spysweet heart1500,29-Sep-20,3,27," I've been using it for years, it was great. But having updated the latest version, there are some bugs.Some videos is not playing.. That's not really convenient.. I want u to fix it ASAP. I am a bit disappointed for the first time... I dont want to feel that way.",,,,,,
Youtube,41,DaKrawnik,28-Sep-20,1,1870," YouTube on my Roku TV is trash. I'm shown the same recommendations and recently uploaded videos including videos I've already watched. You used to be able to refresh the list by clicking on the category on the left, but now it doesn't work. Leaving and coming back doesn't refresh either. Please fix ...Full ReviewYouTube on my Roku TV is trash. I'm shown the same recommendations and recently uploaded videos including videos I've already watched. You used to be able to refresh the list by clicking on the category on the left, but now it doesn't work. Leaving and coming back doesn't refresh either. Please fix once and for all.",,,,,,
Youtube,42,KA H,27-Sep-20,1,203," I listen to soothing relaxing youtubes to go to sleep. Now, when they end, either an ad or another video start playing, jarring me awake or stopping me from falling asleep. I thought i could click on stop autoplay to keep this from happening, but i cant find it half the time.. id like to turnbit off...Full ReviewI listen to soothing relaxing youtubes to go to sleep. Now, when they end, either an ad or another video start playing, jarring me awake or stopping me from falling asleep. I thought i could click on stop autoplay to keep this from happening, but i cant find it half the time.. id like to turnbit off all the time, not every time I listen to a video to sleep or relax! Not cool, youtube.",,,,,,
Youtube,43,Shawn Jones Jr,27-Sep-20,3,186," Good app, lots of content but has big issues that should be addressed but the one I'll address right now, which inspired this review, is your subscription channel list. Who decided that when I back out of a channel back to my subscription list that I should be sent all the way to top of my subbed ch...Full ReviewGood app, lots of content but has big issues that should be addressed but the one I'll address right now, which inspired this review, is your subscription channel list. Who decided that when I back out of a channel back to my subscription list that I should be sent all the way to top of my subbed channels instead of where I was on the list. The fact that this wasn't a problem before makes this more infuriating but given how many people talk about issues with no change yall clearly don't care.",,,,,,
Youtube,44,Cameron Carver,28-Sep-20,5,425," You know, it's funny how a lot of people complain about ads. With the pop up videos and the the videos that you have to watch sometimes before you can watch a video. With all these ad blockers, it seems like it's just another way to enable whiners. If you like something that you're getting for free ...Full ReviewYou know, it's funny how a lot of people complain about ads. With the pop up videos and the the videos that you have to watch sometimes before you can watch a video. With all these ad blockers, it seems like it's just another way to enable whiners. If you like something that you're getting for free please support them by watching their ads. Lift them up, don't knock them down cuz they're doing you a service, a really good one.",,,,,,
Youtube,45,Todd Jensen,26-Sep-20,1,290," Crazy amount of ads now. Multiple ads at the beginning of every single video, plus multiple throughout. As much of a pain as that was, i could deal with it. Now its so laggy and broken/ skipping every 2-3 seconds even with great internet and the video is buffered 3 or 4 minutes ahead of where Im at ...Full ReviewCrazy amount of ads now. Multiple ads at the beginning of every single video, plus multiple throughout. As much of a pain as that was, i could deal with it. Now its so laggy and broken/ skipping every 2-3 seconds even with great internet and the video is buffered 3 or 4 minutes ahead of where Im at in the video. Makes Youtube unusable for me now.",,,,,,
Youtube,46,gayathri d,28-Sep-20,3,15," I am facing a problem with this application, when I open this app, it is loading a video of my Search and the video is also played, but later the other videos are not working, I choose a video it starts buffering and atlast it says Retry or asks for Subscription, it's annoying me a lot. My Network i...Full ReviewI am facing a problem with this application, when I open this app, it is loading a video of my Search and the video is also played, but later the other videos are not working, I choose a video it starts buffering and atlast it says Retry or asks for Subscription, it's annoying me a lot. My Network is also working, but on off I face the above issue. Pls see the issue.",,,,,,
Youtube,47,Emily,28-Sep-20,4,49," I was skeptical, but I really appreciate this app. It does lack a few things that google play music had such as sleep timer, convenient playlist looking based on specific genres and moods and a stronger distinction between youtube videos and songs. I got a question about the app being good for resum...Full ReviewI was skeptical, but I really appreciate this app. It does lack a few things that google play music had such as sleep timer, convenient playlist looking based on specific genres and moods and a stronger distinction between youtube videos and songs. I got a question about the app being good for resuming, it is good, but the music turns off when clearing used apps. The music kept playing on google play when doing so.",,,,,,
Youtube,48,Christopher Bell,27-Sep-20,1,201," Absolutely fed up with the amount of ads! Should be called bloody ad tube! Every video starts with one or sometines 2 ads then few minutes in get yet more ads.... Absolute joke! Ad its not as though can just skip them, some you are forced to watch others have wait 5 seconds till can skip, doesn't so...Full ReviewAbsolutely fed up with the amount of ads! Should be called bloody ad tube! Every video starts with one or sometines 2 ads then few minutes in get yet more ads.... Absolute joke! Ad its not as though can just skip them, some you are forced to watch others have wait 5 seconds till can skip, doesn't sound like much but when they are absolutely RAMMED down ya throat!!!!! Takes the absolute piss!!!!!",,,,,,
Youtube,49,Brian B,27-Sep-20,1,73, Not so good anymore. Excessive and ridiculous amount of intrusive ads embedded within the application and inside the videos. Should rename it AdTube. This makes the app unbearable to everyone except those profiting from it. Also the video is scaled-down making it blotchy and pixelated most of the ti...Full ReviewNot so good anymore. Excessive and ridiculous amount of intrusive ads embedded within the application and inside the videos. Should rename it AdTube. This makes the app unbearable to everyone except those profiting from it. Also the video is scaled-down making it blotchy and pixelated most of the time.,,,,,,
Youtube,50,Tom Thorn,28-Sep-20,2,6," I don't know how else to get through, but I've an account called 'Horror Field' and it's eligible for monetization, however every time I try to apply, it won't let me due to ""sensitive information"". I've tried this multiple times using the same phone and computer over the same Wi-Fi. I understand th...Full ReviewI don't know how else to get through, but I've an account called 'Horror Field' and it's eligible for monetization, however every time I try to apply, it won't let me due to ""sensitive information"". I've tried this multiple times using the same phone and computer over the same Wi-Fi. I understand that this section is meant for reviews, but I'm annoyed that it's been about a week since I've been eligible and yet I still can't do it. If this could be addressed, that'd be great",,,,,,
Youtube,51,Guy,27-Sep-20,2,408," We used to get fresh content, now it's just repeats of stuff I've already watched. Your AI algorithm is worse than ever before. Also, we know you want to wear people down by battering them with adverts so that they pay for the premium version, but seriously, why on earth would anyone think that payi...Full ReviewWe used to get fresh content, now it's just repeats of stuff I've already watched. Your AI algorithm is worse than ever before. Also, we know you want to wear people down by battering them with adverts so that they pay for the premium version, but seriously, why on earth would anyone think that paying the subscription amount is worth it? I would happily pay £2 a month to remove the adverts, but £12 a month just to remove advert",,,,,,
Youtube,52,Lash Scorn,26-Sep-20,1,953," Dunno if this is a bug, but the app is infested with lots of ads, even hijacking the vids. And when i purposefully preload the videos to full, i get ambushed by ads when i watch it and then my preload disappears which i have to load all over again from start. It ruins your data, demands premium subs...Full ReviewDunno if this is a bug, but the app is infested with lots of ads, even hijacking the vids. And when i purposefully preload the videos to full, i get ambushed by ads when i watch it and then my preload disappears which i have to load all over again from start. It ruins your data, demands premium subscription, and disrupts your viewing experience. Very discouraging. And my phone won't let me delete the app, it just keeps on demanding update. How do you completely uninstall this app?",,,,,,
Youtube,53,Igor Kozarchuk,27-Sep-20,1,338," Way too much ads. Two unskippable 6 seconds long ads in a row. And now there are sometimes unskippable 15 seconds ads. Stop seeing this ad is useless, because I still receive ads I've marked as irrelevant or inappropriate. Moreover, there's sometimes no option for ""Stop seeing this add"" - app says t...Full ReviewWay too much ads. Two unskippable 6 seconds long ads in a row. And now there are sometimes unskippable 15 seconds ads. Stop seeing this ad is useless, because I still receive ads I've marked as irrelevant or inappropriate. Moreover, there's sometimes no option for ""Stop seeing this add"" - app says that personalisation is turned off, although it's definitely turned on in account settings.",,,,,,
